Age,Gender,Study_Hours_per_Week,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
-1.58263883689283,0.0,1.605127330856837,0.650558579742218,1,1.7089272295481326,-0.06736525359513057,-0.6160010527664795,1,2,-0.6579889836084045,0.5111511217595217,2
1.5948867537148086,0.0,0.22071394899590638,1.6283275430580937,0,-0.2672626443212286,-1.7105584189234007,-1.226232032601409,1,1,1.447930445105431,0.5111511217595217,3
-1.0049069113278046,0.0,1.5282154763090074,0.16167409808428015,0,-1.0168519068234,-1.5405729190618556,0.2654436958839741,1,0,-0.21463752493180754,0.010366246909397431,3
-0.13830902298026693,0.0,-1.0867875783171947,-1.630902334661492,1,-0.8124184715955352,-0.010703420307948845,-1.0228217059897657,1,0,1.004578986428834,1.5127208714597702,1
-1.2937728741103172,0.0,-0.24075717829107046,1.4653660491721143,1,-1.0849963852326885,-0.40733625331822093,1.2146918867383087,1,1,1.2262547157671324,0.5111511217595217,2
1.306020790932296,0.0,-0.08693346919541152,-0.8160948652315955,1,-0.8124184715955352,-0.9172927529028565,0.33324713808785517,0,2,1.1154168510979832,0.5111511217595217,3
-1.2937728741103172,0.0,1.6820391854046663,0.4875970858562387,1,1.0956269238645377,-1.4839110857746738,-0.6160010527664795,1,0,1.6696061744437294,1.5127208714597702,3
1.0171548281497833,1.0,-1.0098757237693652,-0.8160948652315955,1,0.8911934886366728,-0.8039690863284931,0.06203336927233097,1,0,-1.2121783069541507,-0.4904186279407268,2
-0.4271749857627795,1.0,1.3743917672133485,0.9764815675141765,0,-1.5620077340977065,0.44259124598950494,-0.3447872839509553,0,0,1.2262547157671324,1.011935996609646,1
1.306020790932296,,0.6052732217350537,-0.490171877459637,0,1.7089272295481326,-0.8606309196156747,1.689315982165476,0,1,-1.1013404422850015,1.011935996609646,2
-0.13830902298026693,1.0,0.9898324944742011,1.6283275430580937,0,-0.06282920909336363,-1.4839110857746738,1.2146918867383087,0,1,0.007038204406490915,1.5127208714597702,3
-0.13830902298026693,1.0,-1.0098757237693652,1.302404555286135,1,0.14160422613450133,-0.8039690863284931,-0.07357351513543113,0,2,-0.6579889836084045,-0.4904186279407268,2
-0.13830902298026693,0.0,-0.24075717829107046,-0.9790563591175748,0,-0.5398405579583818,0.15928207955359633,1.2146918867383087,1,1,1.447930445105431,0.010366246909397431,1
1.0171548281497833,1.0,1.297479912665519,1.6283275430580937,0,0.3460376613623663,-0.5773217531797661,-1.6330526858246952,1,0,1.3370925804362817,-0.4904186279407268,2
-0.4271749857627795,,-1.3175231419606832,1.1394430614001558,1,-0.5398405579583818,0.04595841297923288,-1.361838917009171,1,2,1.447930445105431,0.5111511217595217,1
0.43942290258475825,0.0,0.06689023990024742,0.4875970858562387,1,0.6867600534088079,1.1225332454356858,0.06203336927233097,1,1,-1.1013404422850015,0.5111511217595217,0
